id,level,message,agent_name,feedback_id,timestamp,metadata
1,INFO,Processed with confidence: 0.83,pipeline,1,2025-09-08T00:46:47.010874,{}
2,INFO,Processed with confidence: 0.83,pipeline,2,2025-09-08T00:46:47.012175,{}
3,INFO,Processed with confidence: 0.83,pipeline,3,2025-09-08T00:46:47.013605,{}
4,INFO,Processed with confidence: 0.83,pipeline,4,2025-09-08T00:46:47.015006,{}
5,INFO,Processed with confidence: 0.83,pipeline,5,2025-09-08T00:46:47.016089,{}
1,INFO,Processed with confidence: 0.83,pipeline,1,2025-09-08T00:46:47.056997,{}
2,INFO,Processed with confidence: 0.83,pipeline,2,2025-09-08T00:46:47.058573,{}
3,INFO,Processed with confidence: 0.83,pipeline,3,2025-09-08T00:46:47.059976,{}
4,INFO,Processed with confidence: 0.83,pipeline,4,2025-09-08T00:46:47.061357,{}
5,INFO,Processed with confidence: 0.83,pipeline,5,2025-09-08T00:46:47.063071,{}
2001,INFO,Processed with confidence: 0.83,pipeline,2001,2025-09-08T00:46:47.098766,{}
2002,INFO,Processed with confidence: 0.50,pipeline,2002,2025-09-08T00:46:47.100863,{}
2003,INFO,Processed with confidence: 0.83,pipeline,2003,2025-09-08T00:46:47.102584,{}
2004,INFO,Processed with confidence: 0.83,pipeline,2004,2025-09-08T00:46:47.104781,{}
2005,INFO,Processed with confidence: 0.83,pipeline,2005,2025-09-08T00:46:47.106983,{}
2006,INFO,Processed with confidence: 0.83,pipeline,2006,2025-09-08T00:46:47.150063,{}
2007,INFO,Processed with confidence: 0.83,pipeline,2007,2025-09-08T00:46:47.151561,{}
2008,INFO,Processed with confidence: 0.83,pipeline,2008,2025-09-08T00:46:47.153612,{}
2009,INFO,Processed with confidence: 0.83,pipeline,2009,2025-09-08T00:46:47.155717,{}
2010,INFO,Processed with confidence: 0.83,pipeline,2010,2025-09-08T00:46:47.157774,{}
